"filename", "language", "Markdown", "JavaScript", "JSON", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Dev\fullstack\fullstack-front\src\catalog\models\AddModel.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 10, 100
"c:\Dev\fullstack\fullstack-front\src\catalog\models\EditModel.js", "JavaScript", 0, 114, 0, 0, 0, 0, 1, 16, 131
"c:\Dev\fullstack\fullstack-front\src\catalog\models\ViewModel.js", "JavaScript", 0, 53, 0, 0, 0, 0, 3, 9, 65
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddPhoto.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 10, 64
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddTrim.js", "JavaScript", 0, 340, 0, 0, 0, 0, 14, 38, 392
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\DeletePhoto.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 5, 29
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\EditTrim.js", "JavaScript", 0, 466, 0, 0, 0, 0, 14, 52, 532
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\PhotoManagement.js", "JavaScript", 0, 54, 0, 0, 0, 0, 3, 9, 66
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\SetMainPhoto.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 6, 30
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\ViewTrim.js", "JavaScript", 0, 206, 0, 0, 0, 0, 0, 24, 230
"c:\Dev\fullstack\fullstack-front\src\components\ColumnContainer.css", "CSS", 0, 0, 0, 30, 0, 0, 1, 8, 39
"c:\Dev\fullstack\fullstack-front\src\components\ColumnList.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Dev\fullstack\fullstack-front\src\components\ColumnListMakes.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Dev\fullstack\fullstack-front\src\components\ColumnListModels.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Dev\fullstack\fullstack-front\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Dev\fullstack\fullstack-front\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Dev\fullstack\fullstack-front\src\layout\Footer.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 22, 48
"c:\Dev\fullstack\fullstack-front\src\layout\Navbar.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 5, 67
"c:\Dev\fullstack\fullstack-front\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Dev\fullstack\fullstack-front\src\pages\Catalog.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 9, 74
"c:\Dev\fullstack\fullstack-front\src\pages\Home.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 3, 5
"c:\Dev\fullstack\fullstack-front\src\pages\ImageUpload.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\Dev\fullstack\fullstack-front\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Dev\fullstack\fullstack-front\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Dev\fullstack\fullstack-front\src\spots\AddSpot.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Dev\fullstack\fullstack-front\src\spots\AddSpot.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 26, 226
"c:\Dev\fullstack\fullstack-front\src\spots\EditSpot.js", "JavaScript", 0, 426, 0, 0, 0, 0, 2, 53, 481
"c:\Dev\fullstack\fullstack-front\src\spots\Spots.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 6, 70
"c:\Dev\fullstack\fullstack-front\src\spots\ViewSpot.js", "JavaScript", 0, 166, 0, 0, 0, 0, 4, 20, 190
"c:\Dev\fullstack\fullstack-front\src\users\Dashboard.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Dev\fullstack\fullstack-front\src\users\Login.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 4, 19
"c:\Dev\fullstack\fullstack-front\src\users\Profile.js", "JavaScript", 0, 70, 0, 0, 0, 0, 2, 9, 81
"Total", "-", 38, 8074, 18284, 100, 1, 20, 116, 1185, 27818
