"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Dev\fullstack\fullstack-front\src\catalog\models\AddModel.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 10, 106
"c:\Dev\fullstack\fullstack-front\src\catalog\models\EditModel.js", "JavaScript", 0, 124, 0, 0, 0, 0, 1, 16, 141
"c:\Dev\fullstack\fullstack-front\src\catalog\models\ViewModel.js", "JavaScript", 0, 163, 0, 0, 0, 0, 3, 13, 179
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddTrim.js", "JavaScript", 0, 398, 0, 0, 0, 0, 14, 39, 451
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\EditTrim.js", "JavaScript", 0, 582, 0, 0, 0, 0, 12, 69, 663
"c:\Dev\fullstack\fullstack-front\src\catalog\trims\ViewTrim.js", "JavaScript", 0, 589, 0, 0, 0, 0, 4, 50, 643
"c:\Dev\fullstack\fullstack-front\src\components\ColumnContainer.css", "CSS", 0, 0, 0, 30, 0, 0, 1, 8, 39
"c:\Dev\fullstack\fullstack-front\src\components\ColumnList.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Dev\fullstack\fullstack-front\src\components\ColumnListMakes.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Dev\fullstack\fullstack-front\src\components\ColumnListModels.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Dev\fullstack\fullstack-front\src\components\GoogleMapWithMarker.js", "JavaScript", 0, 145, 0, 0, 0, 0, 14, 16, 175
"c:\Dev\fullstack\fullstack-front\src\components\Grid.js", "JavaScript", 0, 65, 0, 0, 0, 0, 10, 13, 88
"c:\Dev\fullstack\fullstack-front\src\components\Masonry.css", "CSS", 0, 0, 0, 14, 0, 0, 1, 2, 17
"c:\Dev\fullstack\fullstack-front\src\components\ShareButtons.js", "JavaScript", 0, 25, 0, 0, 0, 0, 2, 6, 33
"c:\Dev\fullstack\fullstack-front\src\components\geocode.js", "JavaScript", 0, 33, 0, 0, 0, 0, 2, 6, 41
"c:\Dev\fullstack\fullstack-front\src\context\AuthContext.js", "JavaScript", 0, 43, 0, 0, 0, 0, 11, 10, 64
"c:\Dev\fullstack\fullstack-front\src\hooks\useScript.js", "JavaScript", 0, 26, 0, 0, 0, 0, 2, 10, 38
"c:\Dev\fullstack\fullstack-front\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Dev\fullstack\fullstack-front\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 5, 4, 19
"c:\Dev\fullstack\fullstack-front\src\layout\Footer.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 20, 46
"c:\Dev\fullstack\fullstack-front\src\layout\Navbar.js", "JavaScript", 0, 127, 0, 0, 0, 0, 2, 14, 143
"c:\Dev\fullstack\fullstack-front\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Dev\fullstack\fullstack-front\src\pages\Catalog.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 9, 103
"c:\Dev\fullstack\fullstack-front\src\pages\Home.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Dev\fullstack\fullstack-front\src\pages\Unathorized.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Dev\fullstack\fullstack-front\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Dev\fullstack\fullstack-front\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Dev\fullstack\fullstack-front\src\spots\AddSpot.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Dev\fullstack\fullstack-front\src\spots\AddSpot.js", "JavaScript", 0, 640, 0, 0, 0, 0, 5, 65, 710
"c:\Dev\fullstack\fullstack-front\src\spots\EditSpot.js", "JavaScript", 0, 513, 0, 0, 0, 0, 24, 48, 585
"c:\Dev\fullstack\fullstack-front\src\spots\MySpots.js", "JavaScript", 0, 242, 0, 0, 0, 0, 4, 19, 265
"c:\Dev\fullstack\fullstack-front\src\spots\Spots.js", "JavaScript", 0, 262, 0, 0, 0, 0, 4, 21, 287
"c:\Dev\fullstack\fullstack-front\src\spots\ViewSpot.js", "JavaScript", 0, 618, 0, 0, 0, 0, 4, 49, 671
"c:\Dev\fullstack\fullstack-front\src\users\ActivateAccount.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 8, 58
"c:\Dev\fullstack\fullstack-front\src\users\Dashboard.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Dev\fullstack\fullstack-front\src\users\ForgotPassword.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 7, 62
"c:\Dev\fullstack\fullstack-front\src\users\Login.js", "JavaScript", 0, 88, 0, 0, 0, 0, 2, 12, 102
"c:\Dev\fullstack\fullstack-front\src\users\Profile.js", "JavaScript", 0, 473, 0, 0, 0, 0, 7, 54, 534
"c:\Dev\fullstack\fullstack-front\src\users\Register.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 11, 141
"c:\Dev\fullstack\fullstack-front\src\users\ResetPassword.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 8, 80
"c:\Dev\fullstack\fullstack-front\src\users\UserPage.js", "JavaScript", 0, 175, 0, 0, 0, 0, 1, 19, 195
"c:\Dev\fullstack\fullstack-front\src\users\VerifyEmail.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 8, 63
"Total", "-", 18902, 12425, 38, 114, 56, 20, 208, 1500, 33263
