"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Dev\fullstack\fullstack-front\src\components\ShareButtons.js", "JavaScript", 0, 25, 0, 0, 0, 2, 6, 33
"c:\Dev\fullstack\fullstack-front\src\components\geocode.js", "JavaScript", 0, 33, 0, 0, 0, 2, 6, 41
"c:\Dev\fullstack\fullstack-front\src\context\AuthContext.js", "JavaScript", 0, 43, 0, 0, 0, 11, 10, 64
"c:\Dev\fullstack\fullstack-front\src\hooks\useScript.js", "JavaScript", 0, 26, 0, 0, 0, 2, 10, 38
"c:\Dev\fullstack\fullstack-front\src\index.js", "JavaScript", 0, -2, 0, 0, 0, 2, 0, 0
"c:\Dev\fullstack\fullstack-front\src\layout\Footer.js", "JavaScript", 0, 0, 0, 0, 0, 0, -2, -2
"c:\Dev\fullstack\fullstack-front\src\layout\Navbar.js", "JavaScript", 0, 65, 0, 0, 0, 2, 9, 76
"c:\Dev\fullstack\fullstack-front\src\pages\Catalog.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 29
"c:\Dev\fullstack\fullstack-front\src\pages\Home.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 7
"c:\Dev\fullstack\fullstack-front\src\pages\ImageUpload.js", "JavaScript", 0, -30, 0, 0, 0, 0, -7, -37
"c:\Dev\fullstack\fullstack-front\src\pages\Unathorized.js", "JavaScript", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Dev\fullstack\fullstack-front\src\spots\AddSpot.js", "JavaScript", 0, 440, 0, 0, 0, 5, 39, 484
"c:\Dev\fullstack\fullstack-front\src\spots\EditSpot.js", "JavaScript", 0, 87, 0, 0, 0, 22, -5, 104
"c:\Dev\fullstack\fullstack-front\src\spots\MySpots.js", "JavaScript", 0, 242, 0, 0, 0, 4, 19, 265
"c:\Dev\fullstack\fullstack-front\src\spots\Spots.js", "JavaScript", 0, 198, 0, 0, 0, 4, 15, 217
"c:\Dev\fullstack\fullstack-front\src\spots\ViewSpot.js", "JavaScript", 0, 452, 0, 0, 0, 0, 29, 481
"c:\Dev\fullstack\fullstack-front\src\users\ActivateAccount.js", "JavaScript", 0, 50, 0, 0, 0, 0, 8, 58
"c:\Dev\fullstack\fullstack-front\src\users\ForgotPassword.js", "JavaScript", 0, 55, 0, 0, 0, 0, 7, 62
"c:\Dev\fullstack\fullstack-front\src\users\Login.js", "JavaScript", 0, 74, 0, 0, 0, 1, 8, 83
"c:\Dev\fullstack\fullstack-front\src\users\Profile.js", "JavaScript", 0, 403, 0, 0, 0, 5, 45, 453
"c:\Dev\fullstack\fullstack-front\src\users\Register.js", "JavaScript", 0, 130, 0, 0, 0, 0, 11, 141
"c:\Dev\fullstack\fullstack-front\src\users\ResetPassword.js", "JavaScript", 0, 72, 0, 0, 0, 0, 8, 80
"c:\Dev\fullstack\fullstack-front\src\users\UserPage.js", "JavaScript", 0, 175, 0, 0, 0, 1, 19, 195
"c:\Dev\fullstack\fullstack-front\src\users\VerifyEmail.js", "JavaScript", 0, 55, 0, 0, 0, 0, 8, 63
"Total", "-", 618, 4351, 14, 0, 55, 92, 315, 5445
