Date : 2025-01-16 00:03:11
Directory : c:\Dev\fullstack\fullstack-front
Total : 99 files,  5038 codes, 92 comments, 315 blanks, all 5445 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Dev\fullstack\fullstack-front\src\components\ShareButtons.js                               | JavaScript |         25 |          2 |          6 |         33 |
| c:\Dev\fullstack\fullstack-front\src\components\geocode.js                                    | JavaScript |         33 |          2 |          6 |         41 |
| c:\Dev\fullstack\fullstack-front\src\context\AuthContext.js                                   | JavaScript |         43 |         11 |         10 |         64 |
| c:\Dev\fullstack\fullstack-front\src\hooks\useScript.js                                       | JavaScript |         26 |          2 |         10 |         38 |
| c:\Dev\fullstack\fullstack-front\src\index.js                                                 | JavaScript |         -2 |          2 |          0 |          0 |
| c:\Dev\fullstack\fullstack-front\src\layout\Footer.js                                         | JavaScript |          0 |          0 |         -2 |         -2 |
| c:\Dev\fullstack\fullstack-front\src\layout\Navbar.js                                         | JavaScript |         65 |          2 |          9 |         76 |
| c:\Dev\fullstack\fullstack-front\src\pages\Catalog.js                                         | JavaScript |         29 |          0 |          0 |         29 |
| c:\Dev\fullstack\fullstack-front\src\pages\Home.js                                            | JavaScript |          7 |          0 |          0 |          7 |
| c:\Dev\fullstack\fullstack-front\src\pages\ImageUpload.js                                     | JavaScript |        -30 |          0 |         -7 |        -37 |
| c:\Dev\fullstack\fullstack-front\src\pages\Unathorized.js                                     | JavaScript |         16 |          0 |          3 |         19 |
| c:\Dev\fullstack\fullstack-front\src\spots\AddSpot.js                                         | JavaScript |        440 |          5 |         39 |        484 |
| c:\Dev\fullstack\fullstack-front\src\spots\EditSpot.js                                        | JavaScript |         87 |         22 |         -5 |        104 |
| c:\Dev\fullstack\fullstack-front\src\spots\MySpots.js                                         | JavaScript |        242 |          4 |         19 |        265 |
| c:\Dev\fullstack\fullstack-front\src\spots\Spots.js                                           | JavaScript |        198 |          4 |         15 |        217 |
| c:\Dev\fullstack\fullstack-front\src\spots\ViewSpot.js                                        | JavaScript |        452 |          0 |         29 |        481 |
| c:\Dev\fullstack\fullstack-front\src\users\ActivateAccount.js                                 | JavaScript |         50 |          0 |          8 |         58 |
| c:\Dev\fullstack\fullstack-front\src\users\ForgotPassword.js                                  | JavaScript |         55 |          0 |          7 |         62 |
| c:\Dev\fullstack\fullstack-front\src\users\Login.js                                           | JavaScript |         74 |          1 |          8 |         83 |
| c:\Dev\fullstack\fullstack-front\src\users\Profile.js                                         | JavaScript |        403 |          5 |         45 |        453 |
| c:\Dev\fullstack\fullstack-front\src\users\Register.js                                        | JavaScript |        130 |          0 |         11 |        141 |
| c:\Dev\fullstack\fullstack-front\src\users\ResetPassword.js                                   | JavaScript |         72 |          0 |          8 |         80 |
| c:\Dev\fullstack\fullstack-front\src\users\UserPage.js                                        | JavaScript |        175 |          1 |         19 |        195 |
| c:\Dev\fullstack\fullstack-front\src\users\VerifyEmail.js                                     | JavaScript |         55 |          0 |          8 |         63 |
| Total                                                                                         |            |      5,038 |         92 |        315 |      5,445 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
